orderNumber,orderDate,shippedDate,dateDifference,productLine,warehouseName,country
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Trucks and Buses",South,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Trucks and Buses",South,Singapore
10165,2003-10-22,2003-12-26,65,"Trucks and Buses",South,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,Trains,South,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Trucks and Buses",South,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Classic Cars",East,Singapore
10165,2003-10-22,2003-12-26,65,"Trucks and Buses",South,Singapore
10165,2003-10-22,2003-12-26,65,Trains,South,Singapore
10165,2003-10-22,2003-12-26,65,"Trucks and Buses",South,Singapore
10165,2003-10-22,2003-12-26,65,Trains,South,Singapore
10210,2004-01-12,2004-01-20,8,Motorcycles,North,Japan
10210,2004-01-12,2004-01-20,8,Motorcycles,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Motorcycles,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Motorcycles,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Motorcycles,North,Japan
10210,2004-01-12,2004-01-20,8,"Vintage Cars",West,Japan
10210,2004-01-12,2004-01-20,8,"Vintage Cars",West,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10210,2004-01-12,2004-01-20,8,Planes,North,Japan
10258,2004-06-15,2004-06-23,8,"Classic Cars",East,Japan
10258,2004-06-15,2004-06-23,8,"Trucks and Buses",South,Japan
10258,2004-06-15,2004-06-23,8,"Trucks and Buses",South,Japan
10258,2004-06-15,2004-06-23,8,"Vintage Cars",West,Japan
10258,2004-06-15,2004-06-23,8,"Trucks and Buses",South,Japan
10258,2004-06-15,2004-06-23,8,"Classic Cars",East,Japan
10240,2004-04-13,2004-04-20,7,"Classic Cars",East,Japan
10240,2004-04-13,2004-04-20,7,"Classic Cars",East,Japan
10240,2004-04-13,2004-04-20,7,"Classic Cars",East,Japan
10339,2004-11-23,2004-11-30,7,Motorcycles,North,Japan
10339,2004-11-23,2004-11-30,7,Motorcycles,North,Japan
10339,2004-11-23,2004-11-30,7,Planes,North,Japan
10339,2004-11-23,2004-11-30,7,Motorcycles,North,Japan
10339,2004-11-23,2004-11-30,7,Motorcycles,North,Japan
10339,2004-11-23,2004-11-30,7,Planes,North,Japan
10339,2004-11-23,2004-11-30,7,Planes,North,Japan
10339,2004-11-23,2004-11-30,7,"Vintage Cars",West,Japan
10339,2004-11-23,2004-11-30,7,"Vintage Cars",West,Japan
10339,2004-11-23,2004-11-30,7,"Vintage Cars",West,Japan
10339,2004-11-23,2004-11-30,7,Planes,North,Japan
10339,2004-11-23,2004-11-30,7,Ships,South,Japan
10339,2004-11-23,2004-11-30,7,Ships,South,Japan
10339,2004-11-23,2004-11-30,7,Ships,South,Japan
10339,2004-11-23,2004-11-30,7,Planes,North,Japan
10339,2004-11-23,2004-11-30,7,Planes,North,Japan
10121,2003-05-07,2003-05-13,6,Motorcycles,North,France
10121,2003-05-07,2003-05-13,6,Motorcycles,North,France
10121,2003-05-07,2003-05-13,6,Motorcycles,North,France
10121,2003-05-07,2003-05-13,6,Motorcycles,North,France
10121,2003-05-07,2003-05-13,6,Motorcycles,North,France
10133,2003-06-27,2003-07-03,6,Planes,North,Spain
10133,2003-06-27,2003-07-03,6,Planes,North,Spain
10133,2003-06-27,2003-07-03,6,Planes,North,Spain
10133,2003-06-27,2003-07-03,6,Motorcycles,North,Spain
10133,2003-06-27,2003-07-03,6,"Vintage Cars",West,Spain
10133,2003-06-27,2003-07-03,6,"Vintage Cars",West,Spain
10133,2003-06-27,2003-07-03,6,Planes,North,Spain
10133,2003-06-27,2003-07-03,6,Planes,North,Spain
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Classic Cars",East,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Classic Cars",East,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Classic Cars",East,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Classic Cars",East,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Classic Cars",East,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Classic Cars",East,"New Zealand"
10138,2003-07-07,2003-07-13,6,"Vintage Cars",West,"New Zealand"
10140,2003-07-24,2003-07-30,6,"Classic Cars",East,USA
10140,2003-07-24,2003-07-30,6,"Classic Cars",East,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Vintage Cars",West,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Trucks and Buses",South,USA
10140,2003-07-24,2003-07-30,6,"Classic Cars",East,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Planes,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Planes,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Planes,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Motorcycles,North,USA
10145,2003-08-25,2003-08-31,6,Planes,North,USA
10152,2003-09-25,2003-10-01,6,"Classic Cars",East,Australia
10152,2003-09-25,2003-10-01,6,"Classic Cars",East,Australia
10152,2003-09-25,2003-10-01,6,"Classic Cars",East,Australia
10152,2003-09-25,2003-10-01,6,Trains,South,Australia
10154,2003-10-02,2003-10-08,6,"Vintage Cars",West,USA
10154,2003-10-02,2003-10-08,6,Ships,South,USA
10159,2003-10-10,2003-10-16,6,Motorcycles,North,USA
10159,2003-10-10,2003-10-16,6,Motorcycles,North,USA
10159,2003-10-10,2003-10-16,6,Motorcycles,North,USA
10159,2003-10-10,2003-10-16,6,"Classic Cars",East,USA
10159,2003-10-10,2003-10-16,6,Motorcycles,North,USA
10159,2003-10-10,2003-10-16,6,"Classic Cars",East,USA
